,"from","to","Pharma R&D  Annual Review 2017"
507,"Cancer",611500,
508,"Cancer",612326,
509,"Cancer",605058,
510,"Cancer",600755,
511,"Cancer",603098,
512,"Cancer",601367,
513,"Cancer",603111,
514,"Cancer",601981,
515,"Cancer",604677,
516,"Cancer",602714,
517,"Cancer",803341,
518,"Cancer",603105,
519,"Cancer",804904,
520,"Cancer",601400,
521,"Cancer",607049,
522,"Cancer",611343,
523,"Cancer",600387,
524,"Cancer",603849,
525,"Cancer",607394,
526,"Cancer",611342,
527,"Cancer",611495,
528,"Cancer",600480,
529,"Cancer",610708,
530,"Cancer",610588,
531,"Cancer",611432,
532,"Cancer",611921,
533,"Cancer",611255,
534,"Cancer",803240,
535,"Cancer",606501,
536,"Cancer",604874,
537,"Cancer",610127,
538,"Cancer",606061,
539,"Cancer",608652,
540,"Cancer",610544,
541,"Cancer",604248,
542,"Cancer",805782,
543,"Cancer",604349,
544,"Cancer",800878,
545,"Cancer",600653,
546,"Cancer",805874,
547,"Cancer",602900,
548,"Cancer",612256,
549,"Cancer",612171,
550,"Cancer",602814,
551,"Cancer",606666,
552,"Cancer",803721,
553,"Cancer",601971,
554,"Cancer",602324,
555,"Cancer",609994,
556,"Cancer",611183,
557,"Cancer",605046,
558,"Cancer",612213,
559,"Cancer",601606,
560,"Cancer",606094,
561,"Cancer",602850,
562,"Cancer",805041,
563,"Cancer",612062,
564,"Cancer",611302,
565,"Cancer",611130,
566,"Cancer",603846,
567,"Cancer",804456,
568,"Cancer",610271,
569,"Cancer",803850,
570,"Cancer",611002,
571,"Cancer",804362,
572,"Cancer",609391,
573,"Cancer",611890,
574,"Cancer",803736,
575,"Cancer",804469,
576,"Cancer",602356,
577,"Cancer",608027,
578,"Cancer",609315,
579,"Cancer",600889,
580,"Cancer",604475,
581,"Cancer",610855,
582,"Cancer",603064,
583,"Cancer",607116,
584,"Cancer",605866,
585,"Cancer",801984,
586,"Cancer",607178,
587,"Cancer",610803,
588,"Cancer",611400,
589,"Cancer",802500,
590,"Cancer",601502,
591,"Cancer",607987,
592,"Cancer",609752,
593,"Cancer",609833,
594,"Cancer",604901,
595,"Cancer",610478,
596,"Cancer",611960,
597,"Cancer",611415,
598,"Cancer",803863,
599,"Cancer",609261,
600,"Cancer",607094,
601,"Cancer",606803,
602,"Cancer",802691,
603,"Cancer",609671,
604,"Cancer",611568,
605,"Cancer",612344,
606,"Cancer",606900,
607,"Cancer",603211,
608,"Cancer",608405,
609,"Cancer",609987,
610,"Cancer",612284,
611,"Cancer",605179,
612,"Cancer",600630,
613,"Cancer",803982,
614,"Cancer",611268,
615,"Cancer",803871,
616,"Cancer",610333,
617,"Cancer",605826,
618,"Cancer",805970,
619,"Cancer",800398,
620,"Cancer",602913,
621,"Cancer",600271,
622,"Cancer",600215,
623,"Cancer",605843,
624,"Cancer",611925,
625,"Cancer",611852,
626,"Cancer",800393,
627,"Cancer",603612,
628,"Cancer",800681,
629,"Cancer",805482,
630,"Cancer",609889,
631,"Cancer",607586,
632,"Cancer",803849,
633,"Cancer",802392,
634,"Cancer",607387,
635,"Cancer",610350,
636,"Cancer",611819,
637,"Cancer",606782,
638,"Cancer",609134,
639,"Cancer",607468,
640,"Cancer",600416,
641,"Cancer",603626,
642,"Cancer",612048,
643,"Cancer",605098,
644,"Cancer",609118,
645,"Cancer",610859,
646,"Cancer",608768,
647,"Cancer",606898,
648,"Cancer",602743,
649,"Cancer",608939,
650,"Cancer",801425,
651,"Cancer",600451,
652,"Cancer",611011,
653,"Cancer",607306,
654,"Cancer",611779,
655,"Cancer",611596,
656,"Cancer",601703,
657,"Cancer",607372,
658,"Cancer",602994,
659,"Cancer",605221,
660,"Cancer",604526,
661,"Cancer",606369,
662,"Cancer",604343,
663,"Cancer",607081,
664,"Cancer",602310,
665,"Cancer",602879,
666,"Cancer",805831,
667,"Cancer",601349,
668,"Cancer",601449,
669,"Cancer",601573,
670,"Cancer",610665,
671,"Cancer",603160,
672,"Cancer",600893,
673,"Cancer",611150,
674,"Cancer",612352,
675,"Cancer",611018,
676,"Cancer",800555,
677,"Cancer",611099,
678,"Cancer",609130,
679,"Cancer",610567,
680,"Cancer",605720,
681,"Cancer",600519,
682,"Cancer",804185,
683,"Cancer",804447,
684,"Cancer",804637,
685,"Cancer",602598,
686,"Cancer",608008,
687,"Cancer",602309,
688,"Cancer",604539,
689,"Cancer",600406,
690,"Cancer",804742,
691,"Cancer",602383,
692,"Cancer",612170,
693,"Cancer",803630,
694,"Cancer",804398,
695,"Cancer",802093,
696,"Cancer",802467,
697,"Cancer",607262,
698,"Cancer",801922,
699,"Cancer",801186,
700,"Cancer",800453,
701,"Cancer",604449,
702,"Cancer",607186,
703,"Cancer",606742,
704,"Cancer",610435,
705,"Cancer",804392,
706,"Cancer",607596,
707,"Cancer",604364,
708,"Cancer",609906,
709,"Cancer",805244,
710,"Cancer",604638,
711,"Cancer",607303,
712,"Cancer",603533,
713,"Cancer",602635,
714,"Cancer",609608,
715,"Cancer",610054,
716,"Cancer",803717,
717,"Cancer",604172,
718,"Cancer",606148,
719,"Cancer",611209,
720,"Cancer",605249,
721,"Cancer",609734,
722,"Cancer",804031,
723,"Cancer",602032,
724,"Cancer",604047,
725,"Cancer",608881,
726,"Cancer",607356,
727,"Cancer",805966,
728,"Cancer",603542,
729,"Cancer",610458,
730,"Cancer",600332,
731,"Cancer",802430,
732,"Cancer",611572,
733,"Cancer",607039,
734,"Cancer",800059,
735,"Cancer",604641,
736,"Cancer",604987,
737,"Cancer",605041,
738,"Cancer",611997,
739,"Cancer",606680,
740,"Cancer",800757,
741,"Cancer",607796,
742,"Cancer",601575,
743,"Cancer",801685,
744,"Cancer",605399,
745,"Cancer",601669,
746,"Cancer",612083,
747,"Cancer",603106,
748,"Cancer",608804,
749,"Cancer",611203,
750,"Cancer",612355,
751,"Cancer",603092,
752,"Cancer",802046,
753,"Cancer",606263,
754,"Cancer",608412,
755,"Cancer",601760,
756,"Cancer",607288,
757,"Cancer",601521,
758,"Cancer",607933,
759,"Cancer",600296,
760,"Cancer",611945,
761,"Cancer",606852,
762,"Cancer",800527,
