,"from","to","Pharma R&D  Annual Review 2017"
11964,"Breasttumor",802817,1
11965,"Breasttumor",604760,1
11966,"Breasttumor",801990,1
11967,"Breasttumor",608657,1
11968,"Breasttumor",604539,1
11969,"Breasttumor",606404,1
11970,"Breasttumor",601590,1
11971,"Breasttumor",605551,1
11972,"Breasttumor",606455,1
11973,"Breasttumor",609655,1
11974,"Breasttumor",601060,1
11975,"Breasttumor",610324,1
11976,"Breasttumor",601123,1
11977,"Breasttumor",609983,1
11978,"Breasttumor",600065,1
11979,"Breasttumor",606132,1
11980,"Breasttumor",606598,1
11981,"Breasttumor",800453,1
11982,"Breasttumor",606742,1
11983,"Breasttumor",600631,1
11984,"Breasttumor",609827,1
11985,"Breasttumor",606838,1
11986,"Breasttumor",607366,1
11987,"Breasttumor",607336,1
11988,"Breasttumor",607040,1
11989,"Breasttumor",604638,1
11990,"Breasttumor",605456,1
11991,"Breasttumor",602635,1
11992,"Breasttumor",611441,1
11993,"Breasttumor",612342,1
11994,"Breasttumor",600548,1
11995,"Breasttumor",609019,1
11996,"Breasttumor",609781,1
11997,"Breasttumor",604172,1
11998,"Breasttumor",607443,1
11999,"Breasttumor",800535,1
12000,"Breasttumor",605249,1
12001,"Breasttumor",802497,1
12002,"Breasttumor",602729,1
12003,"Breasttumor",801012,1
12004,"Breasttumor",609065,1
12005,"Breasttumor",600264,1
12006,"Breasttumor",603700,1
12007,"Breasttumor",805337,1
12008,"Breasttumor",805745,1
12009,"Breasttumor",610543,1
12010,"Breasttumor",600332,1
12011,"Breasttumor",803876,1
12012,"Breasttumor",611572,1
12013,"Breasttumor",612329,1
12014,"Breasttumor",602395,1
12015,"Breasttumor",609114,1
12016,"Breasttumor",610513,1
12017,"Breasttumor",607022,1
12018,"Breasttumor",609459,1
12019,"Breasttumor",611761,1
12020,"Breasttumor",801317,1
12021,"Breasttumor",601575,1
12022,"Breasttumor",605183,1
12023,"Breasttumor",601714,1
12024,"Breasttumor",801685,1
12025,"Breasttumor",605868,1
12026,"Breasttumor",607795,1
12027,"Breasttumor",611932,1
12028,"Breasttumor",604494,1
12029,"Breasttumor",604814,1
12030,"Breasttumor",612083,1
12031,"Breasttumor",601865,1
12032,"Breasttumor",800454,1
12033,"Breasttumor",606299,1
12034,"Breasttumor",606962,1
12035,"Breasttumor",609106,1
12036,"Breasttumor",800060,1
12037,"Breasttumor",800012,1
12038,"Breasttumor",608449,1
12039,"Breasttumor",604493,1
12040,"Breasttumor",609346,1
12041,"Breasttumor",609109,1
12042,"Breasttumor",606663,1
12043,"Breasttumor",610409,1
12044,"Breasttumor",801402,1
12045,"Breasttumor",610725,1
12046,"Breasttumor",602167,1
12047,"Breasttumor",600050,1
12048,"Breasttumor",607774,1
12049,"Breasttumor",611564,1
12050,"Breasttumor",609697,1
12051,"Breasttumor",603232,1
12052,"Breasttumor",602325,1
